confidence,current_category,current_score,current_signal_type,dataset_tier,editorial_reason,exact_excerpt,final_label,hard_eval,id,label_tier,locality,model_text,published_at,region,report,review_status,source,title,url,event_group,event_group_size,event_label_count,mixed_label_event,is_label_representative,split
HIGH,,,,SILVER,Редакционный второй проход: нет подтвержденной проблемы в предметной области S-monitor.,"[…] Але большасць каментатараў пад відэа сталі на бок дзяцей: успомнілі тарзанкі, будоўлі і уласнае дзяцінства без смартфонаў. Відэа з дзецьмі, якія розгойваюцца на доўгіх галінах вярбы ў парку Жылібера, апублікавала ў Instagram Тэлерадыёкампанія «Гродна». Аўтары публікацыі назвалі такую забаву «імправізаваным атракцыёнам», адзначыўшы, што яна можа быць небяспечнай як для саміх дзяцей, так і для дрэва: галіны могуць зламацца. «Бацькі, будзьце пільнымі! […] Некаторыя гродзенцы звярнулі ўвагу на тое, што дзецям у цэнтры горада не хапае бясплатных забаў. «Таму што ў горадзе няма добрых рознаўзроставых дзіцячых пляцовак», — напісаў адзін з каментатараў. Яшчэ адна карыстальніца адзначыла, што ў парку няма бясплатных арэляў, а паход на платныя атракцыёны з дзецьмі — не таннае задавальненне. […]",REJECT,,RQ-d105d3b71447,SILVER,,,2026-08-20T13:56:00+00:00,,,REVIEWED,Hrodna.life,Дзецям у Гродне «забаранілі» лазіць па дрэвах. Дарослыя абурыліся,https://hrodna.life/2026/08/20/dzetsi-na-dreve,EVT-3e68281afa3f,1,1,NO,YES,train
HIGH,,,,SILVER,Редакционный второй проход: нет подтвержденной проблемы в предметной области S-monitor.,"Магіляўчане пачалі скардзіцца на вялікую колькасць выяваў львоў у Магілёве. Гэты вобраз можна сустрэць у розных месцах горада — ад вулічнага афармлення да плакатаў, вазонаў, стэндаў і іншай прадукцыі, піша «Магілёў.медыя. Аднак у некаторых магіляўчан такая колькасць львінай сімволікі выклікае раздражненне. […] Яна распавяла, што падчас прагулкі па цэнтры горада заўважыла вялікую колькасць выяваў львоў, асабліва на вуліцы Ленінскай. […] Яна звяртае ўвагу, што ашчэраныя львіныя галовы можна ўбачыць на самых розных гарадскіх аб’ектах — ад вазонаў да плакатаў і стэндаў. […] Пры гэтым сам па сабе леў можа быць прывабным візуальным вобразам для жыхароў. […] Для некаторых жыхароў адказ відавочны — гораду варта было б часцей звяртацца да ўласнай гісторыі і мясцовых сімвалаў, а не паўтараць адзін і той жа вобраз на кожным кроку. […]",REJECT,,RQ-a5e8d349ec10,SILVER,,,2026-08-20T13:00:13+00:00,,,REVIEWED,BGmedia,"Чаму ў Магілёве так шмат львоў? Гараджане задаюцца пытаннем, якое дачыненне звер мае да гісторыі горада — BGmedia",https://bgmedia.site/society/u-magilyove-garadzhan-razdrazhae-zasille-lvou,EVT-90205d177b4e,1,1,NO,YES,train
HIGH,,,,SILVER,Редакционный второй проход: нет подтвержденной проблемы в предметной области S-monitor.,"Кто в Могилеве может улучшить жилье с помощью государства? В эфире «Беларусь 4 Могилев» рассказали , кому положены льготы и что для этого нужно. Главный специалист отдела ЖКХ и благоустройства администрации Ленинского района перечислила основания для постановки в очередь на квартиру: ✔️ на человека приходится меньше 15 «квадратов» общей площади; ✔️ семья живет в однокомнатной квартире (кроме супругов); ✔️ молодые супруги до 31 года, впервые в браке, без своего жилья; ✔️ дети-сироты, у которых нет дома или он непригоден. Кто имеет право на господдержку в Могилеве? Это семьи с двумя несовершеннолетними детьми, где возраст супругов до 31 года. А также те, кто стоит в очереди более 10 лет и все это время живет в общежитии. Еще одна категория — семьи с детьми-инвалидами, отдельно дети-сироты и многодетные. […]",REJECT,,RQ-1d8457a7f0f0,SILVER,,,2026-08-20T11:25:40+00:00,,,REVIEWED,Могилёв Online,Кто в Могилеве может улучшить жилье с помощью государства?,https://t.me/mogilevonline/123056,EVT-dd8d7dc0d360,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","Ва Уздзе кожны чацвер каля аўталаўкі Стаўбцоўскага мяса-кансервавага камбіната збіраецца чарга. Мясцовая жыхарка паказала, што некаторыя пакупнікі займаюць яе яшчэ каля 6 раніцы, хоць машына з прадукцыяй прыязджае толькі каля 10.30. […] Першыя пакупнікі могуць набіраць прадукты не толькі сабе, але і сваякам і знаёмым, таму тым, хто апынуўся трэцім ці чацвёртым у чарзе, ужо дастаецца далёка не ўсё. Аўтарка расказвае, што яе бацькі таксама ўстаюць каля пяці раніцы, каб паспець заняць чаргу. Пры гэтым чакаць аўталаўку пенсіянерам даводзіцца некалькі гадзін незалежна ад надвор’я. Паводле яе слоў, праблема яшчэ і ў тым, што патрэбнай прадукцыі ў звычайных крамах Узды няма. «Калі б часцей ездзілі, ніхто б не займаў чаргу а 6.00», — заўважыў адзін з карыстальнікаў TikTok. […]",KEEP,,RQ-ae04f4744510,SILVER,,,2026-08-20T10:31:00+00:00,,,REVIEWED,BGmedia,«Бабулькі хутка пачнуць біцца». Ва Уздзе людзі займаюць чаргу па прадукты аўталаўкi з 6-й раніцы — BGmedia,https://bgmedia.site/news/va-uzdze-lyudzi-zajmayucz-chargu-pa-pradukty-z-6-raniczy,EVT-975a202b67ab,2,1,NO,YES,train
HIGH,,,,SILVER,Очевидно нерелевантный жанр или событие вне предмета S-monitor.,"[…] Одна из наиболее острых проблем — появление несанкционированных свалок в лесных массивах. Денис Колесень отметил, что работа по наведению порядка ведется планомерно: нарушителей все чаще привлекают к ответственности, а в выявлении незаконных выбросов мусора помогают камеры видеонаблюдения. — Свалки в лесу отравляют почву и грунтовые воды токсичными веществами, создают серьезную пожарную опасность, привлекают паразитов и разрушают естественную среду обитания животных, — акцентировал председатель. Особое внимание на встрече было уделено проблеме инвазивных растений. […] Электромобили — это не только комфортно, удобно и быстро, но и, что самое главное, экологично, — подчеркнул Денис Колесень. В завершение встречи глава района ответил на вопросы работников предприятия, касающиеся строительства нового жилья, подтоплений дорог в Заславле и кадрового обеспечения отрасли. Денис Колесень поблагодарил коллектив «Минрайтеплосети» за профессионализм и социальную ответственность.",REJECT,,RQ-8f7f67355eb9,SILVER,,,2026-08-20T10:26:49+00:00,,,REVIEWED,Прысталічча,Денис Колесень обсудил вопросы экологии с работниками ГП «Минрайтеплосеть» - 20.08.2026,https://pristalica.by/20082026/denis-kolesen-obsudil-voprosy-ekologii-s-rabotnikami-gp-minrajteploset,EVT-e27650d6e82a,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","[…] Понятно, что дыма без огня не бывает: посты в соцсетях, где женщины обсуждают свои самые кошмарные истории с акушерами-гинекологами, неизменно набирают огромное количество просмотров и комментариев. «Сильные Новости» собрали несколько историй от жительниц Гомельской области о том, как вполне рядовой поход к гинекологу оставил после себя минимум испорченное настроение, максимум психологическую травму. Мы также спросили напрямую у врача акушера-гинеколога, почему женские доктора так часто ведут себя по-хамски с женщинами, и что с этим делать. Читайте материал по ссылке, а если есть желание, делитесь своими историями (и хорошими, и плохими) в комментариях 👇 https://gomel.media/2026/08/20/13232.html",KEEP,,RQ-462dc92415f0,SILVER,,,2026-08-20T09:38:57+00:00,,,REVIEWED,Gomel Today,О грубости и бестактности врачей этой специальности уже ходят страшилки.,https://t.me/gomeltoday/161813,EVT-ebcfdca15ab9,1,1,NO,YES,train
HIGH,,,,SILVER,Частный спор об арендном залоге и состоянии квартиры.,"[…] Она не захотела его возвращать, потому что ее квартиру «убили». Основные претензии: испорченный до состояния «на мусорку» кухонный гарнитур, на столешнице — следы от ножа, пятно на одном фасаде и испорченный унитаз. Молодой человек настаивал, что все это — естественный износ. […] Чем все закончилось? По словам минчанина, после недолгих споров о том, что было сломано, испорчено, украдено, хозяйка перестала читать его сообщения и брать трубку. Так как сумма в 1130 рублей для арендатора была немаленькой, он решил попробовать их вернуть через суд: — Предварительное заседание назначили на конец июля. […] В начале августа прошло основное заседание. […]",REJECT,,RQ-94ee1bc04c35,SILVER,,,2026-08-20T08:45:13+00:00,,,REVIEWED,Onlíner,Хозяйка квартиры не хотела возвращать залог за якобы «убитую» квартиру. Арендатор пошел в суд - Недвижимость Onlíner,https://realt.onliner.by/2026/08/20/ne-xotela-vozvrashhat-zalog,EVT-be51027e8498,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","Калинковичский райисполком пока так и не уведомил об итогах общественных обсуждений архитектурно-планировочной концепции по переносу памятника-танка Т-34, которые завершились 11 августа. Флагшток постарался узнать, в чем причина. […] По мнению властей, «зона исторической памяти» в парке будет способствовать «сохранению культурного и духовного наследия, воспитанию патриотизма среди молодежи». Эта идея вызвала массовую критику жителей города. Танк установлен в городе в память о погибших войнах-танкистах 1-го гвардейского Донского танкового корпуса 68-й отдельной Калинковичской танковой бригады и находится на пересечении улицы Карла Маркса и улицы Фрунзе. […] Вероятно, такое же мнение превалировало и при официальном общественном обсуждении, поэтому власти и не решились рассказать о его итогах. Флагшток позвонил в Калинковичский райисполком и спросил от имени местного жителя, чем завершилось обсуждение. […]",KEEP,,RQ-45dc2c48963c,SILVER,,,2026-08-20T08:45:00+00:00,,,REVIEWED,Флагшток,"В Калинковичах не решились рассказать об итогах общественного обсуждения по переносу в парк танка-памятника. Флагшток постарался узнать, в чем причина",https://flagshtok.info/ru/regieny/v-kalinkovichah-ne-reshilis-rasskazat-ob-itogah-obscestvennogo-obsuzhdenija-po-perenosu-v-park-tanka-pamjatnika-flagshtok-postaralsja-uznat-v-chem-prichina.html,EVT-748b16378a7c,1,1,NO,YES,train
HIGH,,,,SILVER,Индивидуальный спор о возврате ношеной обуви.,"[…] Потом она ушла в подсобное помещение, а другая сотрудница позвонила заведующей. Только после этого мне предложили оставить обувь на проверку качества. Но я решила этого не делать, оставила запись в книге замечаний и предложений, а затем направила претензию на юридический адрес магазина, — продолжает читательница. В письменном ответе (есть в распоряжении редакции) магазин подтвердил, что женщина приобрела ботинки 24 марта, а 27 марта обратилась с требованием вернуть их из-за неподходящего размера. При осмотре продавец обнаружила следы эксплуатации (носки). […] В магазине указали, что покупательнице предлагали оставить обувь для проверки качества, однако она решила этого не делать. […] Что касается возврата товара как некачественного, то в соответствии с ответом продавца все абсолютно верно: товар у потребителя обязаны принять и в случае необходимости провести проверку качества. […]",REJECT,,RQ-e35aed500b0b,SILVER,,,2026-08-20T08:30:42+00:00,,,REVIEWED,Onlíner,"Белоруска купила ботинки, поносила пару часов и решила вернуть. В магазине отказали — кто прав? - Кошелек Onlíner",https://money.onliner.by/2026/08/20/beloruska-kupila-botinki-ponosila,EVT-d42ebf72b830,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.",Николай Картель вряд ли успел отпраздновать даже свое 19-летие. […],KEEP,,RQ-cfa6e9d8c9f0,SILVER,,,2026-08-20T08:17:28+00:00,,,REVIEWED,Медиа-Полесье,Молодой белорусский наемник пропал без вести — Media-Polesyе,https://media-polesye.com/news/molodoj-belorusskij-naemnik-propal-bez-vesti,EVT-1aba17e47cd9,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","[…] На одной из контейнерных площадок «Спецавтобаза Витебска» разместила подробное объявление с просьбой к жителям полностью закрывать крышку мусорного контейнера. Проблема только в том, что у бака, на который повесили инструкцию, никакой крышки нет. На фотографии рядом стоят два контейнера. […] Вот только выполнить его жители физически не могут. […] Например, житель Московского проспекта пишет, что возле девятиэтажек также стоят баки без крышек, а птицы растаскивают мусор по двору. […] На улице Ленина, как рассказывают жители, появились новые закрытые контейнеры даже с кодовыми замками. […] Не пойму, почему там все для людей, а тут «уважаемые граждане» обязаны закрывать мифические крышки», — возмущается один из комментаторов. […]",KEEP,,RQ-b0260de6eb3c,SILVER,,,2026-08-20T07:57:17+00:00,,,REVIEWED,BGmedia,В Витебске коммунальщики попросили закрывать контейнер без крышки: реакция людей — BGmedia,https://bgmedia.site/news/v-vitebske-poprosili-zakryvat-kryshku-musornogo-baka,EVT-cdc08c4ea4eb,1,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","В правоохранительные органы обратился житель Брестской области с заявлением о привлечении к ответственности неизвестное ему лицо за оскорбление в неприличной форме, унизившее его честь и достоинство. Как выяснилось в дальнейшем, неизвестным лицом является водитель маршрутного транспортного средства, на котором заявитель приехал в город Минск . […] При проведении судебной фоноскопической экспертизы установлено дословное содержание спорной фонограммы, а по результатам лингвистического исследования установлено, что в выражениях водителя маршрутного транспортного средства, зафиксированных в аудиозаписи, содержится негативная оценка лица, имеющая ненормативную форму речевого выражения. […]",KEEP,,RQ-a096cd57d123,SILVER,,,2026-08-20T07:53:29+00:00,,,REVIEWED,БрестСИТИ,Пассажир пожаловался на оскорбления водителя маршрутки. Установлена запись разговора,https://brestcity.com/blog/oskorbleniya-voditelya,EVT-b35aeca53683,1,1,NO,YES,train
HIGH,,,,SILVER,Редакционный второй проход: нет подтвержденной проблемы в предметной области S-monitor.,"[…] До 10 тысяч рублей за 3000 фолликулов. Как пересаживают волосы в Бресте Пересадку волос в Брестской областной больнице начали проводить методом FUE — Follicular Unit Extraction. Это малоинвазивная технология, при которой отдельные волосяные фолликулы, или графты, по одному извлекают из донорской зоны и переносят туда, где волосы отсутствуют или заметно поредели. В качестве донорской зоны обычно используют затылок и боковые части головы. Больших разрезов и швов при таком способе нет. […] По его словам, один обходится примерно в два-три рубля, поэтому типичная стоимость процедуры составляет около шести-девяти тысяч рублей. Врач при этом обращает внимание на отсутствие дополнительных платежей: пациент заранее знает итоговую сумму, а отдельно платить за анестезию, расходные материалы или перевязки не приходится. […]",REJECT,,RQ-f822ba8b651b,SILVER,,,2026-08-20T06:34:53+00:00,,,REVIEWED,Хартия-97,«От цен волосы встают дыбом»,https://charter97.org/ru/news/2026/8/20/695388,EVT-f0bb7dfa76cb,3,1,NO,NO,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","[…] Вместе с тем установлены ограничения: Установлен новый перечень случаев, когда не допускается сброс сточных вод для возводимых, реконструируемых или модернизируемых объектов строительства. […] Граждане имеют право добывать и использовать подземные воды с помощью скважин на своих земельных участках без получения специальных разрешений (право подтверждается документами на землю). В действующем кодексе в случае добычи подземных вод в объеме более 5 кубических метров в сутки граждане обязаны были получать разрешение на специальное водопользование. […] Если на территории участка гражданина находится водный объект, он обязан обеспечить к нему свободный доступ для спецтехники при ликвидации пожаров. На протяжении последних трех лет в территориальные органы Минприроды поступают обращения физических лиц за разъяснением вопроса о возможности выполнения за счет собственных средств работ по содержанию поверхностных водных объектов в надлежащем состоянии и их благоустройству. Учитывая, что в настоящее время отсутствуют правовые основания для принятия местными исполнительными и распорядительными органами таких решений, пункт 1 статьи 28 дополнен частью о том, что местные исполнительные и распорядительные органы базового территориального уровня по инициативе юридических и физических лиц вправе привлекать их к выполнению собственными силами и (или) за счет собственных средств работ по содержанию поверхностных водных объектов в надлежащем состоянии и их благоустройству.",KEEP,,RQ-07c035ee46db,SILVER,,,2026-08-20T05:38:41+00:00,,,REVIEWED,ВГР,"Новые требования к частным скважинам, прудам и сбросу сточных вод — в Беларуси вносят изменения в Водный кодекс — Вечерний Гродно",https://vgr.by/2026/08/20/novye-trebovaniya-k-chastnym-skvazhinam-prudam-i-sbrosu-stochnyh-vod-v-belarusi-vnosyat-izmeneniya-v-vodnyj-kodeks,EVT-ce4763356a9c,4,1,NO,YES,train
HIGH,,,,SILVER,"Редакционный второй проход: подтверждена конкретная белорусская проблема, жалоба или нарушение.","Жительница Гомеля пожаловалась в Threads на ситуацию в микрорайоне №59А. По ее словам, при покупке квартиры семья ориентировалась в том числе на рекламу, где жильцам обещали современную инфраструктуру и благоустроенные дворы. Однако после сдачи дома реальность, утверждает женщина, оказалась другой. «Нет детской площадки, нет лавочек возле подъезда, нет мусорок, нет воды горячей в целом подъезде», — написала она. В подтверждение своих слов женщина показала двор возле нового дома. На видео — территория, которая пока мало похожа на заявленный в рекламе двор для комфортной жизни. Особенно ее возмутило отсутствие обещанных мест для детей. […]",KEEP,,RQ-99b01da7da39,SILVER,,,2026-08-20T04:04:42+00:00,,,REVIEWED,BGmedia,"Без обещанного комфорта: новоселы в Гомеле показали реальное состояние дворов, воспетых в сюжетах госТВ — BGmedia",https://bgmedia.site/society/zhitelnicza-gomelya-pozhalovalas-na-infrastrukturu-novogo-mikrorajona,EVT-b32c5d38fb42,1,1,NO,YES,train
