url,source,title,prefilter_status,final_stage,reason,html_length,text_length
https://www.hoiniki.by/?p=256877,Хойніцкія навіны,Поздравляем с наградой,strong,relevance_rejected,нет связки социальной темы и проблемы,100253,697
https://smartpress.by/news/spustya-10-dney-posle-navodneniya-v-nepale-nashli-zhivymi-dvukh-chelovek,Smartpress.by,Спустя 10 дней после наводнения в Непале нашли живыми двух человек,strong,relevance_rejected,Evidence Binding: тема и проблема связаны только глубоко в тексте,99991,1102
https://smartpress.by/idea/sad-ogorod/pochemu-kartofel-prorastaet-zimoy-i-kak-etogo-izbezhat,Smartpress.by,Почему картофель прорастает зимой и как этого избежать?,strong,relevance_rejected,нет связки социальной темы и проблемы,100826,3338
https://smartpress.by/news/a-gde-eto-iskat-kak-4-sentyabrya-1998-goda-google-navel-poryadok-v-internete,Smartpress.by,“А где это искать?” Как 4 сентября 1998 года Google навел порядок в интернете,strong,relevance_rejected,нет связки социальной темы и проблемы,106284,3709
https://smartpress.by/news/nemedlenno-ukroytes-v-podezde-belgidromet-otvetil-na-prognoz-o-tornado-v-belarusi-4-sentyabrya,Smartpress.by,“Немедленно укройтесь в подъезде”: Белгидромет ответил на прогноз о торнадо в Беларуси 4 сентября,strong,relevance_rejected,нет связки социальной темы и проблемы,106210,2769
https://smartpress.by/idea/sad-ogorod/kak-vybrat-luk-sevok-dlya-osennego-poseva,Smartpress.by,Как выбрать лук-севок для осеннего посева,strong,relevance_rejected,нет связки социальной темы и проблемы,99632,3307
https://smartpress.by/news/dom-5-7-ili-35f-pochemu-v-belarusi-poyavlyayutsya-strannye-adresa-i-chto-delat-esli-dva-zdaniya-polu,Smartpress.by,"Дом 5/7 или 35Ф: почему в Беларуси появляются странные адреса и что делать, если два здания получили один номер",strong,relevance_rejected,нет связки социальной темы и проблемы,113044,6070
https://smartpress.by/idea/lyudi/use-dni-naradzhennya-zapisali-asobny-sshytak-u-babushki-i-dedushki-s-polesya-57-vnukov-i-38-pravnuko,Smartpress.by,“Усе дні нараджэння запісалі ў асобны сшытак”. У бабушки и дедушки с Полесья 57 внуков и 38 правнуков,strong,relevance_rejected,нет связки социальной темы и проблемы,131009,8985
https://smartpress.by/news/zhenshchiny-poshli-po-griby-i-ne-vernulis-ikh-rasterzal-medved,Smartpress.by,Женщины пошли по грибы и не вернулись – их растерзал медведь,strong,relevance_rejected,нет связки социальной темы и проблемы,94332,872
https://smartpress.by/news/beshenyy-ogurets-zolotarnik-i-ne-tolko-za-kakie-rasteniya-na-uchastke-mozhno-poluchit-shtraf-do-450-,Smartpress.by,"“Бешеный огурец”, золотарник и не только: за какие растения на участке можно получить штраф до 450 рублей",strong,relevance_rejected,нет связки социальной темы и проблемы,109936,4276
https://smartpress.by/news/el-nino-mozhet-stat-silneyshim-za-tysyachu-let-pochemu-uchenye-tak-trevozhno-smotryat-na-2027-god,Smartpress.by,Эль-Ниньо может стать сильнейшим за тысячу лет. Почему ученые так тревожно смотрят на 2027 год,strong,relevance_rejected,нет связки социальной темы и проблемы,103334,4718
https://dzr.by/03092026/subbotnyuyu-pryamuyu-liniyu-5-sentyabrya-provedet-upravdelami-dzerzhinskogo-rajispolkoma-natalya-sinyukovich,Дзяржынская праўда,Субботнюю прямую линию 5 сентября проведет управделами Дзержинского райисполкома Наталья Синюкович,needs_text,degraded_queued,"html fetched, no article text extracted",187999,0
https://mlyn.by/03092026/vot-i-leto-proshlo,Минская правда,Вот и лето прошло,needs_text,degraded_queued,"html fetched, no article text extracted",167361,0
http://www.klich.by/index.php?xml_sitemap=params%3D%3Bhtml%3Dtrue,Кліч Радзімы,,needs_text,degraded_queued,"html fetched, no article text extracted",7488,0
https://afisha.smartpress.by/besplatno/62225,Smartpress.by,,needs_text,degraded_queued,"html fetched, no article text extracted",35335,0
https://afisha.smartpress.by/rekomendatsiya-smartpress/62222,Smartpress.by,,needs_text,degraded_queued,"html fetched, no article text extracted",34603,0
http://slutsk-gorod.by/spravka-sluck/karta-slutska-i-regiona,Слуцк-Город,Карта Слуцка и региона,needs_text,degraded_queued,"html fetched, no article text extracted",31407,0
https://www.pvestnik.by/tema-nedeli-soveshhanie-prezidenta-po-voprosam-sozdaniya-obrazovatelnogo-centra-po-podgotovke-kadrov-perspektivnyh-napravlenij-26-01-2026,Полацкі веснік,Тема недели: Совещание Президента по вопросам создания образовательного центра по подготовке кадров перспективных направлений (26.01.2026),needs_text,degraded_queued,"html fetched, no article text extracted",113820,0
https://smartpress.by/idea/iskusstvennyy-intellekt,Smartpress.by,Искусственный интеллект,needs_text,degraded_queued,"html fetched, no article text extracted",120152,0
https://vitebskspring.org/itemlist/date/2026/9,Витебская Весна,Верасень 2026 (4),needs_text,degraded_queued,"html fetched, no article text extracted",92511,0
https://vitebskspring.org/news/penitencyjarnaja-systema,Витебская Весна,Пэнітэнцыярная сыстэма,needs_text,degraded_queued,"html fetched, no article text extracted",66532,0
https://vitebskspring.org/news/raspalvanne-vapozhasci,Витебская Весна,Распальваньне варожасьці,needs_text,degraded_queued,"html fetched, no article text extracted",67321,0
https://vitebskspring.org/news/svaboda-sumlennja,Витебская Весна,Свабода сумленьня,needs_text,degraded_queued,"html fetched, no article text extracted",68366,0
https://vitebskspring.org/news/smjarotnae-pakaranne,Витебская Весна,Сьмяротнае пакараньне,needs_text,degraded_queued,"html fetched, no article text extracted",66143,0
https://vitebskspring.org/news/satsyyalnyya-pravy,Витебская Весна,Сацыяльныя правы,needs_text,degraded_queued,"html fetched, no article text extracted",57137,0
https://masheka.by/index.php?do=feedback,MASHEKA,Связаться с редакцией,needs_text,degraded_queued,"html fetched, no article text extracted",115906,0
https://masheka.by/liga-jekspertov-mogileva,MASHEKA,Лига Экспертов Могилева,needs_text,degraded_queued,"html fetched, no article text extracted",128798,0
https://masheka.by/novosti-mogileva/23260-internet-banking-v-mogileveopros.html,MASHEKA,Интернет-банкинг в Могилеве:опрос,needs_text,degraded_queued,"html fetched, no article text extracted",121618,0
https://afisha.smartpress.by/gastrofesty-degustatsii-masterklassy/62213,Smartpress.by,,needs_text,degraded_queued,"html fetched, no article text extracted",35307,0
https://bobr.by/news/relevant/198640,Вечерний Бобруйск,Как Бобруйск шёл в школу 1 сентября. Уличный фоторепортаж BOBR.BY,possible,degraded_queued,"html fetched, no article text extracted",66750,0
https://dzr.by/31082026/provozhaem-poslednij-den-avgusta,Дзяржынская праўда,Последний день августа в Дзержинске в нашем объективе,needs_text,degraded_queued,"html fetched, no article text extracted",168206,0
https://dzr.by/31082026/top-novosti-dzerzhinskogo-rajona-za-proshedshuyu-nedelyu-106,Дзяржынская праўда,Топ-новости Дзержинского района за прошедшую неделю,needs_text,degraded_queued,"html fetched, no article text extracted",157929,0
https://lnc.by/news/obshchestvo/stala-izvestna-programma-oblastnykh-dazhynok-v-brestskoy-oblasti-kotorye-proydut-v-zhemchuzhnom-5-se,Лунинецкие новости,"Стала известна программа областных «Дажынок» на Брестчине, которые пройдут в Жемчужном 5 сентября",needs_text,degraded_queued,"html fetched, no article text extracted",47115,0
